epoch,itr,loss,mask-A,mask-B,time (ms)
epoch,itr,loss,mask-A,mask-B,time (ms)
epoch,itr,loss,mask-A,mask-B,time (ms)
epoch,itr,loss,mask-A,mask-B,time (ms)
epoch,itr,loss,mask-A,mask-B,time (ms)
epoch,itr,loss,mask-A,mask-B,time (ms)
epoch,itr,loss,mask-A,mask-B,time (ms)
5,1,0.14018,77.00000,42.00000,189
5,2,0.13992,79.00000,42.00000,188
5,3,0.14812,64.00000,42.00000,163
5,4,0.12869,79.00000,42.00000,182
5,5,0.13414,67.00000,48.00000,171
5,6,0.14658,66.00000,48.00000,171
5,7,0.13733,66.00000,42.00000,163
5,8,0.12684,72.00000,42.00000,178
5,9,0.13831,69.00000,42.00000,169
5,10,0.13306,61.00000,42.00000,156
5,11,0.14743,57.00000,42.00000,152
5,12,0.14846,56.00000,48.00000,155
5,13,0.12247,81.00000,36.00000,177
5,14,0.13773,54.00000,54.00000,160
5,15,0.13018,73.00000,42.00000,173
5,16,0.14599,48.00000,54.00000,155
5,17,0.12506,88.00000,35.00000,186
5,18,0.15081,50.00000,54.00000,154
5,19,0.13372,72.00000,42.00000,170
5,20,0.13145,77.00000,42.00000,178
5,21,0.14089,57.00000,54.00000,165
5,22,0.12937,78.00000,42.00000,180
5,23,0.13388,68.00000,42.00000,168
5,24,0.13444,73.00000,48.00000,179
5,25,0.13896,69.00000,42.00000,167
5,26,0.14222,59.00000,54.00000,166
5,27,0.13690,67.00000,42.00000,164
5,28,0.12122,87.00000,36.00000,186
5,29,0.13216,61.00000,48.00000,163
5,30,0.12310,85.00000,35.00000,182
5,31,0.13631,71.00000,42.00000,170
5,32,0.13563,60.00000,54.00000,169
5,33,0.12869,72.00000,42.00000,170
5,34,0.13995,69.00000,42.00000,168
5,35,0.14191,67.00000,48.00000,170
5,36,0.12435,73.00000,42.00000,174
5,37,0.13039,75.00000,42.00000,175
5,38,0.14046,58.00000,48.00000,161
5,39,0.13268,85.00000,35.00000,181
5,40,0.13496,67.00000,48.00000,171
5,41,0.13291,64.00000,48.00000,168
5,42,0.11830,79.00000,42.00000,180
5,43,0.12625,78.00000,42.00000,179
5,44,0.14823,53.00000,48.00000,152
5,45,0.12579,57.00000,48.00000,156
5,46,0.12429,76.00000,42.00000,177
5,47,0.13675,67.00000,42.00000,163
5,48,0.13289,71.00000,42.00000,169
5,49,0.13947,63.00000,42.00000,157
5,50,0.12811,71.00000,48.00000,176
5,51,0.13985,57.00000,48.00000,156
5,52,0.12620,72.00000,42.00000,170
5,53,0.13539,61.00000,48.00000,162
5,54,0.12973,69.00000,42.00000,166
5,55,0.13410,78.00000,42.00000,178
5,56,0.13522,69.00000,48.00000,173
5,57,0.14504,49.00000,48.00000,146
5,58,0.13371,69.00000,42.00000,166
5,59,0.12665,73.00000,42.00000,172
5,60,0.13081,73.00000,42.00000,171
5,61,0.14178,61.00000,42.00000,155
5,62,0.13648,61.00000,54.00000,168
5,63,0.13185,66.00000,48.00000,169
5,64,0.13758,69.00000,42.00000,166
5,65,0.14023,66.00000,48.00000,169
epoch,itr,loss,mask-A,mask-B,time (ms)
epoch,itr,loss,mask-A,mask-B,time (ms)
1,0,0.42647,73.00000,42.00000,1051
1,1,0.36527,67.00000,42.00000,165
1,2,0.34157,60.00000,48.00000,163
1,3,0.33207,92.00000,35.00000,193
1,4,0.32087,69.00000,42.00000,167
1,5,0.31419,72.00000,42.00000,171
1,6,0.30904,65.00000,48.00000,168
1,7,0.30077,73.00000,42.00000,173
1,8,0.29718,63.00000,42.00000,157
1,9,0.29740,65.00000,48.00000,168
1,10,0.28869,81.00000,42.00000,183
1,11,0.28315,77.00000,42.00000,178
1,12,0.27868,79.00000,42.00000,181
1,13,0.28049,67.00000,42.00000,164
1,14,0.27795,65.00000,42.00000,161
1,15,0.27198,67.00000,42.00000,166
1,16,0.27301,52.00000,54.00000,157
1,17,0.26532,87.00000,42.00000,195
1,18,0.26838,72.00000,42.00000,170
1,19,0.26313,67.00000,42.00000,164
1,20,0.26581,63.00000,42.00000,157
1,21,0.25629,81.00000,42.00000,184
1,22,0.25709,68.00000,42.00000,168
1,23,0.25388,70.00000,42.00000,169
1,24,0.25270,54.00000,48.00000,154
1,25,0.25153,61.00000,48.00000,163
1,26,0.24750,75.00000,48.00000,183
1,27,0.24972,51.00000,54.00000,157
1,28,0.24411,70.00000,42.00000,168
1,29,0.24510,67.00000,42.00000,165
1,30,0.24368,61.00000,48.00000,162
1,31,0.24495,62.00000,42.00000,157
1,32,0.24171,69.00000,48.00000,173
